mode,n,mean,std,p50,p90,p99,max
log-only,213072,0.20809417270014643,0.15261233580334402,0.15704032559505565,0.3958971459922561,0.7581043274718336,0.9999999821173425
metric-only,17200,0.24496684289226872,0.15705753712621573,0.20487195861738713,0.45629053864932007,0.8064043051360973,0.9999999948104152
